Task,Sensor,Feature,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,CV_Value_Percent,SD_Value
Task_1,APL,RMS_Amplitude,0.4769,0.4769,0.4769,0.4769,0.4771,0.0197,0.0001
Task_1,APL,MRV,0.4769,0.4769,0.4769,0.4769,0.4771,0.0196,0.0001
Task_1,APL,iEMG,1907.4309,1907.6399,1907.7217,1907.6755,1908.417,0.0196,0.3747
Task_1,APL,WL,0.0187,0.0229,0.0269,0.0315,0.0521,42.7145,0.013
Task_1,FCR,RMS_Amplitude,0.4705,0.471,0.471,0.4707,0.4716,0.0814,0.0004
Task_1,FCR,MRV,0.4705,0.471,0.471,0.4707,0.4715,0.0812,0.0004
Task_1,FCR,iEMG,1882.0812,1883.8973,1883.9679,1882.997,1886.191,0.0812,1.5289
Task_1,FCR,WL,0.0244,0.0663,0.0543,0.0475,0.0968,45.9049,0.0266
Task_1,FDS,RMS_Amplitude,0.5059,0.5074,0.5069,0.5072,0.512,0.4631,0.0024
Task_1,FDS,MRV,0.5059,0.5074,0.5069,0.5072,0.512,0.4624,0.0023
Task_1,FDS,iEMG,2023.6408,2029.759,2027.7855,2028.7241,2047.8283,0.4624,9.3929
Task_1,FDS,WL,0.1073,0.1343,0.1605,0.1919,0.1969,24.0542,0.038
Task_1,FDP,RMS_Amplitude,0.4959,0.4952,0.4924,0.4933,0.494,0.2869,0.0014
Task_1,FDP,MRV,0.4959,0.4952,0.4924,0.4933,0.494,0.2874,0.0014
Task_1,FDP,iEMG,1983.599,1980.949,1969.6735,1973.0293,1975.9298,0.2874,5.6804
Task_1,FDP,WL,0.232,0.2568,0.372,0.2839,0.2687,18.8979,0.0534
Task_1,ED,RMS_Amplitude,0.4072,0.4067,0.4065,0.4065,0.4067,0.0728,0.0003
Task_1,ED,MRV,0.4072,0.4067,0.4065,0.4065,0.4067,0.0728,0.0003
Task_1,ED,iEMG,1628.7232,1626.8891,1625.8036,1625.8475,1626.7382,0.0728,1.1843
Task_1,ED,WL,0.067,0.0665,0.0646,0.0652,0.064,1.9248,0.0013
Task_1,EI,RMS_Amplitude,0.6,0.5008,0.4969,0.4943,0.4945,8.9499,0.0463
Task_1,EI,MRV,0.599,0.5003,0.4969,0.4943,0.4945,8.879,0.0459
Task_1,EI,iEMG,2395.981,2001.1179,1987.4705,1977.1078,1978.1757,8.879,183.6161
Task_1,EI,WL,3.5621,0.9119,0.3564,0.0233,0.0298,152.5432,1.4899
Task_1,ECU,RMS_Amplitude,0.5126,0.4772,0.4763,0.4763,0.4763,3.3347,0.0161
Task_1,ECU,MRV,0.5062,0.4772,0.4763,0.4763,0.4763,2.7487,0.0133
Task_1,ECU,iEMG,2024.7161,1908.6818,1905.3052,1905.2965,1905.3014,2.7487,53.0463
Task_1,ECU,WL,2.984,0.1278,0.0041,0.0038,0.0052,211.1745,1.3198
Task_1,ECR,RMS_Amplitude,0.4728,0.5594,0.5524,0.5578,0.5643,7.1207,0.0385
Task_1,ECR,MRV,0.4728,0.5588,0.552,0.5575,0.564,7.0914,0.0384
Task_1,ECR,iEMG,1891.2562,2235.3332,2207.9598,2229.8491,2255.9682,7.0914,153.4636
Task_1,ECR,WL,0.0024,1.7588,1.8762,1.6706,1.9479,56.2892,0.8169
Task_2,APL,RMS_Amplitude,0.4773,0.479,0.4785,0.4785,0.4785,0.1331,0.0006
Task_2,APL,MRV,0.4773,0.479,0.4785,0.4785,0.4785,0.1331,0.0006
Task_2,APL,iEMG,1909.16,1916.0797,1914.0521,1913.8267,1913.8322,0.1331,2.5471
Task_2,APL,WL,0.027,0.0549,0.0446,0.0301,0.0312,31.4344,0.0118
Task_2,FCR,RMS_Amplitude,0.4756,0.4841,0.4765,0.4726,0.4759,0.8976,0.0043
Task_2,FCR,MRV,0.4756,0.4841,0.4765,0.4726,0.4759,0.8957,0.0043
Task_2,FCR,iEMG,1902.2006,1936.2876,1905.932,1890.359,1903.6381,0.8957,17.0868
Task_2,FCR,WL,0.2029,0.4546,0.1763,0.072,0.1532,68.1159,0.1443
Task_2,FDS,RMS_Amplitude,0.5082,0.5339,0.5327,0.5332,0.5358,2.1839,0.0115
Task_2,FDS,MRV,0.5082,0.5339,0.5326,0.5332,0.5358,2.1823,0.0115
Task_2,FDS,iEMG,2032.8538,2135.7113,2130.5475,2132.6079,2143.1519,2.1823,46.1553
Task_2,FDS,WL,0.1428,0.4122,0.4395,0.4115,0.3931,34.0204,0.1224
Task_2,FDP,RMS_Amplitude,0.4866,0.4865,0.4857,0.4852,0.4859,0.1167,0.0006
Task_2,FDP,MRV,0.4866,0.4865,0.4857,0.4852,0.4859,0.1161,0.0006
Task_2,FDP,iEMG,1946.4227,1945.908,1942.9157,1940.8932,1943.7897,0.1161,2.2573
Task_2,FDP,WL,0.2199,0.1378,0.1285,0.1265,0.114,29.2549,0.0425
Task_2,ED,RMS_Amplitude,0.4105,0.4112,0.4087,0.4097,0.4109,0.2517,0.001
Task_2,ED,MRV,0.4105,0.4112,0.4087,0.4097,0.4109,0.2511,0.001
Task_2,ED,iEMG,1641.8342,1644.8855,1634.6402,1638.6217,1643.5394,0.2511,4.1203
Task_2,ED,WL,0.3051,0.2419,0.0783,0.1131,0.1288,55.2512,0.0958
Task_2,EI,RMS_Amplitude,0.4941,0.5478,0.5213,0.5242,0.5259,3.6617,0.0191
Task_2,EI,MRV,0.4941,0.5466,0.5209,0.5239,0.5256,3.5851,0.0187
Task_2,EI,iEMG,1976.2257,2186.2753,2083.613,2095.4021,2102.4276,3.5851,74.8842
Task_2,EI,WL,0.0034,4.3366,0.8455,1.0211,0.8312,119.6655,1.6844
Task_2,ECU,RMS_Amplitude,0.4763,0.5072,0.4939,0.4964,0.4988,2.2897,0.0113
Task_2,ECU,MRV,0.4763,0.507,0.4938,0.4962,0.4987,2.2764,0.0113
Task_2,ECU,iEMG,1905.3412,2027.9564,1975.2176,1984.895,1994.6451,2.2764,45.0181
Task_2,ECU,WL,0.0043,1.5896,0.5623,0.6642,0.5565,84.8416,0.573
Task_2,ECR,RMS_Amplitude,0.5187,0.4809,0.479,0.4791,0.4828,3.5204,0.0172
Task_2,ECR,MRV,0.5185,0.4809,0.479,0.4791,0.4827,3.4989,0.0171
Task_2,ECR,iEMG,2073.8492,1923.7185,1916.0467,1916.2169,1930.9837,3.4989,68.3039
Task_2,ECR,WL,1.0998,0.3386,0.1655,0.17,0.1523,105.5738,0.4067
Task_3,APL,RMS_Amplitude,0.479,0.4791,0.4793,0.4793,0.4794,0.0346,0.0002
Task_3,APL,MRV,0.479,0.4791,0.4793,0.4793,0.4794,0.0345,0.0002
Task_3,APL,iEMG,1916.1198,1916.253,1917.0168,1917.3304,1917.6292,0.0345,0.6621
Task_3,APL,WL,0.0692,0.0773,0.0774,0.078,0.0888,8.9031,0.007
Task_3,FCR,RMS_Amplitude,0.4765,0.4786,0.4788,0.4825,0.4827,0.5613,0.0027
Task_3,FCR,MRV,0.4765,0.4786,0.4787,0.4825,0.4827,0.5601,0.0027
Task_3,FCR,iEMG,1905.8655,1914.4906,1914.9823,1929.876,1930.6177,0.5601,10.7484
Task_3,FCR,WL,0.3055,0.3477,0.4035,0.3783,0.4415,13.8584,0.052
Task_3,FDS,RMS_Amplitude,0.5216,0.5301,0.5365,0.5409,0.5385,1.4561,0.0078
Task_3,FDS,MRV,0.5216,0.5301,0.5365,0.5409,0.5385,1.4561,0.0078
Task_3,FDS,iEMG,2086.3589,2120.2827,2145.8407,2163.4848,2153.8714,1.4561,31.0736
Task_3,FDS,WL,0.4054,0.4713,0.4072,0.4568,0.5539,13.2136,0.0606
Task_3,FDP,RMS_Amplitude,0.4927,0.491,0.4912,0.4904,0.4912,0.1736,0.0009
Task_3,FDP,MRV,0.4927,0.491,0.4912,0.4904,0.4912,0.1728,0.0008
Task_3,FDP,iEMG,1970.8383,1964.0285,1964.9305,1961.6317,1964.7901,0.1728,3.3958
Task_3,FDP,WL,0.2436,0.2489,0.2194,0.1954,0.2127,9.9102,0.0222
Task_3,ED,RMS_Amplitude,0.4098,0.4098,0.4098,0.4102,0.4115,0.1803,0.0007
Task_3,ED,MRV,0.4098,0.4098,0.4098,0.4102,0.4115,0.1787,0.0007
Task_3,ED,iEMG,1639.1631,1639.2752,1639.0205,1640.9556,1645.9208,0.1787,2.9324
Task_3,ED,WL,0.1449,0.1379,0.1388,0.1775,0.2431,26.5951,0.0448
Task_3,EI,RMS_Amplitude,0.5757,0.5765,0.5858,0.586,0.5769,0.9041,0.0052
Task_3,EI,MRV,0.5755,0.5763,0.5856,0.5859,0.5767,0.9047,0.0052
Task_3,EI,iEMG,2301.9812,2305.364,2342.3397,2343.504,2306.888,0.9047,20.99
Task_3,EI,WL,1.0711,0.9373,1.0787,0.8113,1.0586,11.7069,0.1161
Task_3,ECU,RMS_Amplitude,0.5169,0.516,0.5179,0.5165,0.5158,0.1584,0.0008
Task_3,ECU,MRV,0.5169,0.516,0.5178,0.5165,0.5158,0.1577,0.0008
Task_3,ECU,iEMG,2067.5997,2063.908,2071.2345,2065.8809,2063.0537,0.1577,3.2584
Task_3,ECU,WL,0.5676,0.5057,0.5616,0.4948,0.5583,6.4129,0.0345
Task_3,ECR,RMS_Amplitude,0.4827,0.4843,0.4857,0.4846,0.482,0.307,0.0015
Task_3,ECR,MRV,0.4827,0.4842,0.4857,0.4846,0.482,0.3069,0.0015
Task_3,ECR,iEMG,1930.912,1936.971,1942.7411,1938.4059,1927.9421,0.3069,5.9405
Task_3,ECR,WL,0.1024,0.1683,0.1638,0.1223,0.1775,22.2344,0.0327
Task_4,APL,RMS_Amplitude,0.5001,0.5142,0.5063,0.5085,0.5044,1.0328,0.0052
Task_4,APL,MRV,0.4996,0.513,0.5056,0.5074,0.5036,0.9799,0.005
Task_4,APL,iEMG,1998.385,2052.168,2022.4495,2029.7823,2014.5892,0.9799,19.8279
Task_4,APL,WL,0.8443,1.2267,0.8303,1.0346,0.7634,20.1559,0.1894
Task_4,FCR,RMS_Amplitude,0.4757,0.4837,0.4817,0.482,0.4782,0.6693,0.0032
Task_4,FCR,MRV,0.4757,0.4836,0.4817,0.4819,0.4782,0.6665,0.0032
Task_4,FCR,iEMG,1902.907,1934.4147,1926.8605,1927.6419,1912.6405,0.6665,12.8023
Task_4,FCR,WL,0.2067,0.2922,0.2459,0.2756,0.1751,20.2039,0.0483
Task_4,FDS,RMS_Amplitude,0.5222,0.5234,0.523,0.5251,0.5262,0.3096,0.0016
Task_4,FDS,MRV,0.5222,0.5234,0.523,0.5251,0.5261,0.3087,0.0016
Task_4,FDS,iEMG,2088.6115,2093.6493,2092.0044,2100.204,2104.5967,0.3087,6.4708
Task_4,FDS,WL,0.3509,0.331,0.304,0.3406,0.4631,17.1425,0.0614
Task_4,FDP,RMS_Amplitude,0.503,0.4935,0.4937,0.4931,0.4934,0.8634,0.0043
Task_4,FDP,MRV,0.5029,0.4935,0.4937,0.4931,0.4934,0.8583,0.0043
Task_4,FDP,iEMG,2011.6447,1973.8951,1974.7862,1972.5461,1973.4322,0.8583,17.0043
Task_4,FDP,WL,0.2965,0.228,0.2077,0.2086,0.1941,17.9393,0.0407
Task_4,ED,RMS_Amplitude,0.4124,0.4158,0.4147,0.4168,0.4174,0.4791,0.002
Task_4,ED,MRV,0.4123,0.4157,0.4146,0.4167,0.4172,0.4694,0.0019
Task_4,ED,iEMG,1649.3615,1662.9002,1658.498,1666.8911,1668.985,0.4694,7.7983
Task_4,ED,WL,0.226,0.3708,0.3033,0.4209,0.3679,22.2464,0.0751
Task_4,EI,RMS_Amplitude,0.5243,0.5212,0.5457,0.5449,0.5451,2.3104,0.0124
Task_4,EI,MRV,0.5238,0.521,0.5456,0.5449,0.5449,2.3346,0.0125
Task_4,EI,iEMG,2095.093,2083.9337,2182.556,2179.4397,2179.7836,2.3346,50.0568
Task_4,EI,WL,0.6114,0.5152,0.6717,0.6029,0.6812,10.7929,0.0665
Task_4,ECU,RMS_Amplitude,0.5051,0.5128,0.5178,0.5184,0.5165,1.0641,0.0055
Task_4,ECU,MRV,0.505,0.5128,0.5177,0.5183,0.5165,1.068,0.0055
Task_4,ECU,iEMG,2020.1765,2051.0788,2070.9541,2073.3282,2065.9072,1.068,21.9611
Task_4,ECU,WL,0.4492,0.5084,0.3764,0.4412,0.4674,10.6914,0.048
Task_4,ECR,RMS_Amplitude,0.4811,0.4844,0.4854,0.4864,0.4862,0.4488,0.0022
Task_4,ECR,MRV,0.4811,0.4844,0.4854,0.4864,0.4862,0.4485,0.0022
Task_4,ECR,iEMG,1924.2657,1937.7265,1941.4816,1945.5179,1944.9428,0.4485,8.6956
Task_4,ECR,WL,0.0858,0.1214,0.1122,0.1307,0.1335,16.4481,0.0192
Task_5,APL,RMS_Amplitude,0.4793,0.4788,0.4789,0.4789,0.4789,0.0433,0.0002
Task_5,APL,MRV,0.4793,0.4788,0.4789,0.4789,0.4789,0.0432,0.0002
Task_5,APL,iEMG,1917.2914,1915.1624,1915.7813,1915.7304,1915.4252,0.0432,0.8285
Task_5,APL,WL,0.0639,0.0416,0.0468,0.0402,0.0463,19.8142,0.0095
Task_5,FCR,RMS_Amplitude,0.4847,0.4771,0.4775,0.4781,0.4758,0.7233,0.0035
Task_5,FCR,MRV,0.4846,0.4771,0.4775,0.4781,0.4758,0.7215,0.0035
Task_5,FCR,iEMG,1938.4728,1908.4402,1910.064,1912.2697,1903.2282,0.7215,13.8123
Task_5,FCR,WL,0.3375,0.1758,0.2325,0.1839,0.1591,33.1976,0.0723
Task_5,FDS,RMS_Amplitude,0.5434,0.543,0.5457,0.5397,0.5539,0.9798,0.0053
Task_5,FDS,MRV,0.5433,0.543,0.5457,0.5397,0.5538,0.9786,0.0053
Task_5,FDS,iEMG,2173.312,2171.878,2182.7767,2158.635,2215.3118,0.9786,21.337
Task_5,FDS,WL,0.5335,0.4644,0.555,0.5994,0.5517,9.0795,0.0491
Task_5,FDP,RMS_Amplitude,0.5187,0.4969,0.5066,0.5101,0.5043,1.5759,0.008
Task_5,FDP,MRV,0.5186,0.4969,0.5065,0.5101,0.5043,1.5728,0.008
Task_5,FDP,iEMG,2074.5591,1987.5152,2026.1206,2040.2432,2017.0593,1.5728,31.9134
Task_5,FDP,WL,0.3645,0.2747,0.3548,0.3348,0.3011,11.5304,0.0376
Task_5,ED,RMS_Amplitude,0.42,0.4154,0.4221,0.4197,0.4184,0.5892,0.0025
Task_5,ED,MRV,0.4198,0.4153,0.422,0.4196,0.4183,0.5811,0.0024
Task_5,ED,iEMG,1679.3206,1661.3325,1687.8184,1678.2056,1673.0509,0.5811,9.7389
Task_5,ED,WL,0.5377,0.355,0.5018,0.4216,0.3764,18.0149,0.079
Task_5,EI,RMS_Amplitude,0.5254,0.5326,0.5592,0.5571,0.5395,2.7512,0.0149
Task_5,EI,MRV,0.5253,0.5325,0.5591,0.5571,0.5394,2.7564,0.015
Task_5,EI,iEMG,2101.0911,2129.9892,2236.4987,2228.281,2157.5905,2.7564,59.8324
Task_5,EI,WL,0.5545,0.5262,0.6272,0.5858,0.549,6.8766,0.0391
Task_5,ECU,RMS_Amplitude,0.5072,0.5073,0.509,0.5112,0.5074,0.3349,0.0017
Task_5,ECU,MRV,0.5072,0.5073,0.509,0.5112,0.5074,0.3374,0.0017
Task_5,ECU,iEMG,2028.6874,2029.2753,2035.8221,2044.7217,2029.4995,0.3374,6.8608
Task_5,ECU,WL,0.6058,0.347,0.3824,0.405,0.416,23.4381,0.1011
Task_5,ECR,RMS_Amplitude,0.4976,0.4821,0.4943,0.4951,0.4855,1.3732,0.0067
Task_5,ECR,MRV,0.4976,0.482,0.4943,0.4951,0.4855,1.3733,0.0067
Task_5,ECR,iEMG,1990.3394,1928.1769,1977.2921,1980.492,1942.01,1.3733,26.9662
Task_5,ECR,WL,0.2515,0.1217,0.2423,0.2447,0.1497,30.3992,0.0614
Task_6,APL,RMS_Amplitude,0.4792,0.4793,0.4793,0.4792,0.479,0.0244,0.0001
Task_6,APL,MRV,0.4792,0.4793,0.4793,0.4792,0.479,0.0244,0.0001
Task_6,APL,iEMG,1916.8689,1917.0756,1917.0756,1916.6489,1915.9491,0.0244,0.4675
Task_6,APL,WL,0.0618,0.0574,0.0574,0.0754,0.0569,12.7436,0.0079
Task_6,FCR,RMS_Amplitude,0.4847,0.4798,0.4798,0.4788,0.4783,0.5376,0.0026
Task_6,FCR,MRV,0.4846,0.4798,0.4798,0.4787,0.4782,0.5304,0.0025
Task_6,FCR,iEMG,1938.5016,1919.1884,1919.1884,1914.9506,1912.8901,0.5304,10.1885
Task_6,FCR,WL,0.4406,0.3057,0.3057,0.2603,0.2705,22.8405,0.0723
Task_6,FDS,RMS_Amplitude,0.5183,0.522,0.522,0.5188,0.5209,0.335,0.0017
Task_6,FDS,MRV,0.5183,0.522,0.522,0.5188,0.5209,0.3341,0.0017
Task_6,FDS,iEMG,2073.2811,2087.9105,2087.9105,2075.2575,2083.7093,0.3341,6.9557
Task_6,FDS,WL,0.258,0.3934,0.3934,0.3232,0.38,16.8338,0.0589
Task_6,FDP,RMS_Amplitude,0.5122,0.5158,0.5158,0.5098,0.502,1.1169,0.0057
Task_6,FDP,MRV,0.5122,0.5158,0.5158,0.5098,0.5019,1.1209,0.0057
Task_6,FDP,iEMG,2048.6295,2063.1163,2063.1163,2039.0285,2007.6154,1.1209,22.9151
Task_6,FDP,WL,0.4112,0.442,0.442,0.3979,0.3935,5.6261,0.0235
Task_6,ED,RMS_Amplitude,0.4173,0.4211,0.4211,0.4245,0.4208,0.6074,0.0026
Task_6,ED,MRV,0.4172,0.4211,0.4211,0.4244,0.4207,0.6052,0.0025
Task_6,ED,iEMG,1668.9509,1684.3414,1684.3414,1697.7087,1682.8206,0.6052,10.1901
Task_6,ED,WL,0.3264,0.4579,0.4579,0.5665,0.4748,18.7609,0.0857
Task_6,EI,RMS_Amplitude,0.5361,0.5417,0.5417,0.5413,0.5495,0.8841,0.0048
Task_6,EI,MRV,0.5358,0.5412,0.5412,0.541,0.5491,0.8788,0.0048
Task_6,EI,iEMG,2143.1798,2164.8692,2164.8692,2163.8876,2196.4061,0.8788,19.0411
Task_6,EI,WL,0.7075,0.9594,0.9594,0.8227,0.9076,12.314,0.1073
Task_6,ECU,RMS_Amplitude,0.5105,0.5107,0.5107,0.5113,0.5115,0.0896,0.0005
Task_6,ECU,MRV,0.5104,0.5106,0.5106,0.5112,0.5115,0.0913,0.0005
Task_6,ECU,iEMG,2041.5427,2042.3579,2042.3579,2044.708,2045.9669,0.0913,1.8655
Task_6,ECU,WL,0.5206,0.563,0.563,0.624,0.4181,14.2047,0.0764
Task_6,ECR,RMS_Amplitude,0.4966,0.4969,0.4969,0.4967,0.4958,0.0949,0.0005
Task_6,ECR,MRV,0.4965,0.4968,0.4968,0.4966,0.4956,0.0934,0.0005
Task_6,ECR,iEMG,1985.8216,1987.0389,1987.0389,1986.2492,1982.5609,0.0934,1.8538
Task_6,ECR,WL,0.4525,0.5212,0.5212,0.4919,0.4622,6.5575,0.0321
Task_7,APL,RMS_Amplitude,0.4811,0.4886,0.4883,0.4833,0.4866,0.6757,0.0033
Task_7,APL,MRV,0.481,0.488,0.4879,0.483,0.4862,0.6407,0.0031
Task_7,APL,iEMG,1923.9158,1952.1215,1951.5462,1932.1816,1944.7612,0.6407,12.4363
Task_7,APL,WL,0.2115,0.9006,1.3211,0.6987,1.1394,50.308,0.4298
Task_7,FCR,RMS_Amplitude,0.4753,0.4794,0.4747,0.4742,0.4786,0.5009,0.0024
Task_7,FCR,MRV,0.4753,0.4793,0.4746,0.4742,0.4785,0.495,0.0024
Task_7,FCR,iEMG,1901.1226,1917.3811,1898.571,1896.7793,1913.9578,0.495,9.4326
Task_7,FCR,WL,0.2372,0.5154,0.3166,0.2938,0.5546,37.0149,0.142
Task_7,FDS,RMS_Amplitude,0.5497,0.534,0.5287,0.5272,0.5288,1.7443,0.0093
Task_7,FDS,MRV,0.5496,0.534,0.5287,0.5272,0.5288,1.7412,0.0093
Task_7,FDS,iEMG,2198.5174,2135.8754,2114.7478,2108.6962,2115.2747,1.7412,37.1673
Task_7,FDS,WL,0.5996,0.5125,0.4254,0.4284,0.4421,15.5504,0.0749
Task_7,FDP,RMS_Amplitude,0.4989,0.5087,0.5045,0.5014,0.5027,0.7314,0.0037
Task_7,FDP,MRV,0.4988,0.5087,0.5045,0.5013,0.5027,0.7335,0.0037
Task_7,FDP,iEMG,1995.3812,2034.7506,2017.9656,2005.3641,2010.6093,0.7335,14.765
Task_7,FDP,WL,0.4181,0.4636,0.5683,0.4739,0.4087,13.6082,0.0635
Task_7,ED,RMS_Amplitude,0.4113,0.4145,0.413,0.4118,0.412,0.3049,0.0013
Task_7,ED,MRV,0.4112,0.4144,0.4129,0.4117,0.412,0.3027,0.0012
Task_7,ED,iEMG,1644.8727,1657.602,1651.6936,1646.937,1648.1124,0.3027,4.9942
Task_7,ED,WL,0.1952,0.388,0.4673,0.4423,0.3275,29.8385,0.1086
Task_7,EI,RMS_Amplitude,0.5391,0.5607,0.5403,0.528,0.5426,2.1827,0.0118
Task_7,EI,MRV,0.5387,0.5602,0.5401,0.5275,0.5418,2.1727,0.0118
Task_7,EI,iEMG,2154.6905,2240.7223,2160.2474,2110.1449,2167.2541,2.1727,47.0742
Task_7,EI,WL,0.9293,1.7063,1.391,1.1818,1.2027,22.4904,0.2884
Task_7,ECU,RMS_Amplitude,0.5082,0.5239,0.5164,0.5152,0.5191,1.113,0.0057
Task_7,ECU,MRV,0.5081,0.5238,0.5163,0.5151,0.519,1.1124,0.0057
Task_7,ECU,iEMG,2032.2667,2095.0751,2065.2559,2060.3534,2075.8336,1.1124,22.979
Task_7,ECU,WL,0.5745,0.8865,0.816,0.9226,0.8673,17.0858,0.139
Task_7,ECR,RMS_Amplitude,0.4919,0.4977,0.4906,0.487,0.4854,0.9759,0.0048
Task_7,ECR,MRV,0.4919,0.4976,0.4905,0.487,0.4854,0.9693,0.0048
Task_7,ECR,iEMG,1967.4233,1990.4999,1962.1626,1948.1271,1941.6918,0.9693,19.0168
Task_7,ECR,WL,0.5027,0.594,0.4362,0.3357,0.2289,33.9174,0.1423
